Treatment	Chamber	WDH	Seconds	Date(Y-M-D)	Time(H:M:S)	CO2(ppm)	H2O(ppt)	H2O(C)	Cell_Temperature(C)	Cell_Pressure(kPa)	CO2_Absorption	H2O_Absorption
AQ	1	C	109	2020-03-23	15:38:47	496,01	16,82	14,29	51,17	97,22	0,0961	0,0899
AQ	1	C	110	2020-03-23	15:38:48	495,28	16,87	14,34	51,15	97,21	0,096	0,0901
AQ	1	C	111	2020-03-23	15:38:49	496,25	16,85	14,32	51,15	97,23	0,096	0,09
AQ	1	C	112	2020-03-23	15:38:50	495,71	16,84	14,31	51,15	97,22	0,0961	0,0899
AQ	1	C	113	2020-03-23	15:38:51	496,21	16,83	14,31	51,16	97,25	0,0961	0,0899
AQ	1	C	114	2020-03-23	15:38:52	497,17	16,83	14,31	51,17	97,24	0,0963	0,09
AQ	1	C	115	2020-03-23	15:38:53	497,31	16,9	14,37	51,17	97,23	0,0962	0,0902
AQ	1	C	116	2020-03-23	15:38:54	497,59	16,88	14,35	51,17	97,2	0,0963	0,0901
AQ	1	C	117	2020-03-23	15:38:55	499,33	16,89	14,36	51,16	97,2	0,0965	0,0902
AQ	1	C	118	2020-03-23	15:38:56	498,44	16,89	14,36	51,15	97,2	0,0963	0,0901
AQ	1	C	119	2020-03-23	15:38:57	498,99	16,91	14,38	51,15	97,23	0,0966	0,0902
AQ	1	C	120	2020-03-23	15:38:58	499,2	16,91	14,38	51,15	97,23	0,0965	0,0903
AQ	1	C	121	2020-03-23	15:38:59	499,9	16,9	14,37	51,16	97,24	0,0966	0,0902
AQ	1	C	122	2020-03-23	15:39:00	500,5	16,92	14,39	51,2	97,24	0,0967	0,0903
AQ	1	C	123	2020-03-23	15:39:01	500,03	16,97	14,43	51,17	97,2	0,0966	0,0904
AQ	1	C	124	2020-03-23	15:39:02	501,61	16,97	14,44	51,16	97,22	0,0968	0,0905
AQ	1	C	125	2020-03-23	15:39:03	501,95	16,94	14,41	51,15	97,23	0,0969	0,0903
AQ	1	C	126	2020-03-23	15:39:04	501,35	16,95	14,41	51,15	97,22	0,0967	0,0904
AQ	1	C	127	2020-03-23	15:39:05	502,87	16,97	14,43	51,15	97,24	0,097	0,0904
AQ	1	C	128	2020-03-23	15:39:06	502,64	16,97	14,44	51,17	97,24	0,0969	0,0905
AQ	1	C	129	2020-03-23	15:39:07	502,1	16,99	14,46	51,17	97,24	0,0969	0,0905
AQ	1	C	130	2020-03-23	15:39:08	502,78	16,99	14,46	51,17	97,23	0,097	0,0905
AQ	1	C	131	2020-03-23	15:39:09	504,09	17,03	14,48	51,17	97,22	0,0971	0,0906
AQ	1	C	132	2020-03-23	15:39:10	503,89	16,98	14,44	51,16	97,23	0,0971	0,0904
AQ	1	C	133	2020-03-23	15:39:11	505,06	17,06	14,51	51,15	97,22	0,0972	0,0908
AQ	1	C	134	2020-03-23	15:39:12	504,49	17,04	14,5	51,15	97,23	0,0972	0,0906
AQ	1	C	135	2020-03-23	15:39:13	504,85	17,03	14,48	51,16	97,23	0,0972	0,0907
AQ	1	C	136	2020-03-23	15:39:14	505,3	17,06	14,52	51,17	97,24	0,0973	0,0907
AQ	1	C	137	2020-03-23	15:39:15	506,24	17,05	14,5	51,17	97,22	0,0975	0,0907
AQ	1	C	138	2020-03-23	15:39:16	505,9	17,06	14,52	51,17	97,23	0,0974	0,0908
AQ	1	C	139	2020-03-23	15:39:17	507,5	17,08	14,53	51,17	97,23	0,0976	0,0908
AQ	1	C	140	2020-03-23	15:39:18	507,31	17,06	14,51	51,15	97,23	0,0976	0,0908
AQ	1	C	141	2020-03-23	15:39:19	507,36	17,11	14,56	51,15	97,22	0,0976	0,0909
AQ	1	C	142	2020-03-23	15:39:20	507,57	17,11	14,56	51,15	97,23	0,0976	0,0909
AQ	1	C	143	2020-03-23	15:39:21	507,91	17,12	14,57	51,16	97,23	0,0977	0,091
AQ	1	C	144	2020-03-23	15:39:22	508,64	17,12	14,57	51,19	97,24	0,0978	0,0909
AQ	1	C	145	2020-03-23	15:39:23	510	17,08	14,53	51,17	97,2	0,0979	0,0908
AQ	1	C	146	2020-03-23	15:39:24	509,32	17,14	14,58	51,16	97,22	0,0978	0,0911
AQ	1	C	147	2020-03-23	15:39:25	509,86	17,13	14,58	51,15	97,22	0,098	0,091
AQ	1	C	148	2020-03-23	15:39:26	509,86	17,13	14,58	51,15	97,22	0,098	0,091
AQ	1	C	149	2020-03-23	15:39:27	510,51	17,13	14,58	51,16	97,23	0,098	0,0909
AQ	1	C	150	2020-03-23	15:39:28	510,28	17,13	14,58	51,15	97,24	0,098	0,0911
AQ	1	C	151	2020-03-23	15:39:29	511,04	17,14	14,59	51,16	97,23	0,098	0,091
AQ	1	C	152	2020-03-23	15:39:30	510,85	17,16	14,61	51,17	97,24	0,0981	0,0911
AQ	1	C	153	2020-03-23	15:39:31	511,57	17,16	14,61	51,19	97,23	0,0982	0,091
AQ	1	C	154	2020-03-23	15:39:32	512,8	17,14	14,59	51,16	97,22	0,0984	0,0911
AQ	1	C	155	2020-03-23	15:39:33	512,74	17,18	14,62	51,15	97,22	0,0982	0,0911
AQ	1	C	156	2020-03-23	15:39:34	511,64	17,18	14,62	51,15	97,22	0,0982	0,0911
AQ	1	C	157	2020-03-23	15:39:35	513,71	17,22	14,66	51,15	97,23	0,0985	0,0914
AQ	1	C	158	2020-03-23	15:39:36	513,17	17,2	14,64	51,16	97,24	0,0983	0,0912
AQ	1	C	159	2020-03-23	15:39:37	514,4	17,2	14,65	51,19	97,24	0,0986	0,0912
AQ	1	C	160	2020-03-23	15:39:38	514,01	17,17	14,61	51,17	97,23	0,0984	0,0911
AQ	1	C	161	2020-03-23	15:39:39	514,93	17,23	14,67	51,17	97,22	0,0986	0,0914
AQ	1	C	162	2020-03-23	15:39:40	515,26	17,23	14,67	51,15	97,23	0,0986	0,0913
AQ	1	C	163	2020-03-23	15:39:41	515,03	17,21	14,65	51,15	97,23	0,0987	0,0913
AQ	1	C	164	2020-03-23	15:39:42	515,97	17,22	14,66	51,15	97,21	0,0987	0,0914
AQ	1	C	165	2020-03-23	15:39:43	516,65	17,24	14,68	51,15	97,23	0,0988	0,0914
AQ	1	C	166	2020-03-23	15:39:44	516,28	17,25	14,69	51,17	97,23	0,0988	0,0914
AQ	1	C	167	2020-03-23	15:39:45	516,83	17,27	14,7	51,17	97,23	0,0988	0,0914
AQ	1	C	168	2020-03-23	15:39:46	517,05	17,26	14,7	51,17	97,23	0,0989	0,0916
AQ	1	C	169	2020-03-23	15:39:47	516,77	17,29	14,72	51,16	97,23	0,0989	0,0916
AQ	1	C	170	2020-03-23	15:39:48	517,7	17,28	14,71	51,15	97,23	0,0989	0,0914
AQ	1	C	171	2020-03-23	15:39:49	518,3	17,29	14,72	51,15	97,22	0,0991	0,0916
AQ	1	C	172	2020-03-23	15:39:50	517,13	17,26	14,7	51,15	97,24	0,0989	0,0915
AQ	1	C	173	2020-03-23	15:39:51	518,68	17,27	14,71	51,17	97,24	0,0991	0,0915
AQ	1	C	174	2020-03-23	15:39:52	519,6	17,33	14,76	51,17	97,23	0,0992	0,0917
AQ	1	C	175	2020-03-23	15:39:53	519,63	17,32	14,75	51,17	97,23	0,0992	0,0916
AQ	1	C	176	2020-03-23	15:39:54	519,42	17,31	14,74	51,15	97,22	0,0991	0,0917
AQ	1	C	177	2020-03-23	15:39:55	519,8	17,32	14,75	51,15	97,2	0,0992	0,0917
AQ	1	C	178	2020-03-23	15:39:56	521,03	17,35	14,78	51,15	97,22	0,0994	0,0918
AQ	1	C	179	2020-03-23	15:39:57	520,49	17,33	14,76	51,15	97,24	0,0993	0,0917
AQ	1	C	180	2020-03-23	15:39:58	520,58	17,3	14,74	51,16	97,24	0,0993	0,0916
AQ	1	C	181	2020-03-23	15:39:59	521,42	17,33	14,75	51,17	97,22	0,0994	0,0917
AQ	1	C	182	2020-03-23	15:40:00	522,15	17,36	14,79	51,17	97,23	0,0996	0,0918
AQ	1	C	183	2020-03-23	15:40:01	522,27	17,37	14,79	51,17	97,22	0,0995	0,0918
AQ	1	C	184	2020-03-23	15:40:02	522,26	17,37	14,79	51,15	97,22	0,0995	0,0919
AQ	1	C	185	2020-03-23	15:40:03	523,36	17,36	14,78	51,15	97,22	0,0996	0,0918
AQ	1	D	1	2020-03-23	18:46:15	476,43	10,65	7,42	51,15	97,17	0,0933	0,0654
AQ	1	D	2	2020-03-23	18:46:16	477,11	10,63	7,39	51,16	97,2	0,0934	0,0653
AQ	1	D	3	2020-03-23	18:46:17	477,23	10,65	7,42	51,17	97,19	0,0935	0,0654
AQ	1	D	4	2020-03-23	18:46:18	478,2	10,64	7,4	51,16	97,19	0,0935	0,0654
AQ	1	D	5	2020-03-23	18:46:19	478,12	10,7	7,49	51,15	97,19	0,0935	0,0657
AQ	1	D	6	2020-03-23	18:46:20	478,11	10,7	7,48	51,15	97,17	0,0936	0,0656
AQ	1	D	7	2020-03-23	18:46:21	478,82	10,69	7,47	51,15	97,2	0,0936	0,0657
AQ	1	D	8	2020-03-23	18:46:22	478,65	10,73	7,52	51,15	97,2	0,0936	0,0657
AQ	1	D	9	2020-03-23	18:46:23	480,25	10,73	7,53	51,15	97,2	0,0938	0,0658
AQ	1	D	10	2020-03-23	18:46:24	479,88	10,77	7,59	51,16	97,2	0,0938	0,066
AQ	1	D	11	2020-03-23	18:46:25	480,46	10,78	7,59	51,16	97,18	0,0939	0,066
AQ	1	D	12	2020-03-23	18:46:26	480,71	10,78	7,6	51,13	97,19	0,0938	0,0659
AQ	1	D	13	2020-03-23	18:46:27	480,52	10,8	7,63	51,13	97,2	0,0939	0,0662
AQ	1	D	14	2020-03-23	18:46:28	481,54	10,81	7,64	51,15	97,17	0,0939	0,0661
AQ	1	D	15	2020-03-23	18:46:29	481,4	10,85	7,7	51,15	97,21	0,094	0,0663
AQ	1	D	16	2020-03-23	18:46:30	482,05	10,85	7,69	51,15	97,2	0,0941	0,0663
AQ	1	D	17	2020-03-23	18:46:31	482,23	10,86	7,71	51,16	97,19	0,094	0,0664
AQ	1	D	18	2020-03-23	18:46:32	482,67	10,87	7,72	51,17	97,2	0,0941	0,0664
AQ	1	D	19	2020-03-23	18:46:33	483,18	10,9	7,75	51,15	97,19	0,0943	0,0666
AQ	1	D	20	2020-03-23	18:46:34	483,98	10,92	7,78	51,15	97,18	0,0943	0,0666
AQ	1	D	21	2020-03-23	18:46:35	485,1	10,94	7,81	51,13	97,17	0,0945	0,0667
AQ	1	D	22	2020-03-23	18:46:36	484,47	10,93	7,8	51,13	97,2	0,0944	0,0666
AQ	1	D	23	2020-03-23	18:46:37	485,29	10,95	7,82	51,15	97,2	0,0945	0,0668
AQ	1	D	24	2020-03-23	18:46:38	484,74	10,96	7,84	51,16	97,19	0,0944	0,0668
AQ	1	D	25	2020-03-23	18:46:39	485,88	11	7,89	51,17	97,2	0,0947	0,067
AQ	1	D	26	2020-03-23	18:46:40	486,48	11,01	7,9	51,16	97,18	0,0946	0,067
AQ	1	D	27	2020-03-23	18:46:41	487,24	11	7,9	51,15	97,18	0,0949	0,067
AQ	1	D	28	2020-03-23	18:46:42	487,61	11,01	7,91	51,15	97,17	0,0948	0,067
AQ	1	D	29	2020-03-23	18:46:43	487,74	11,05	7,96	51,15	97,16	0,0948	0,0671
AQ	1	D	30	2020-03-23	18:46:44	487,26	11,05	7,96	51,15	97,19	0,0947	0,0672
AQ	1	D	31	2020-03-23	18:46:45	487,92	11,09	8,01	51,16	97,2	0,0949	0,0674
AQ	1	D	32	2020-03-23	18:46:46	488,61	11,07	7,99	51,16	97,19	0,095	0,0672
AQ	1	D	33	2020-03-23	18:46:47	488,63	11,08	8	51,15	97,17	0,095	0,0674
AQ	1	D	34	2020-03-23	18:46:48	490,06	11,13	8,07	51,15	97,17	0,0952	0,0675
AQ	1	D	35	2020-03-23	18:46:49	489,7	11,12	8,05	51,15	97,17	0,095	0,0675
AQ	1	D	36	2020-03-23	18:46:50	490,46	11,15	8,1	51,15	97,19	0,0953	0,0676
AQ	1	D	37	2020-03-23	18:46:51	490,69	11,13	8,06	51,15	97,19	0,0952	0,0675
AQ	1	D	38	2020-03-23	18:46:52	490,31	11,15	8,09	51,15	97,2	0,0953	0,0677
AQ	1	D	39	2020-03-23	18:46:53	491,87	11,18	8,13	51,16	97,19	0,0954	0,0677
AQ	1	D	40	2020-03-23	18:46:54	491,55	11,21	8,18	51,16	97,19	0,0954	0,0678
AQ	1	D	41	2020-03-23	18:46:55	492,62	11,22	8,18	51,13	97,16	0,0955	0,068
AQ	1	D	42	2020-03-23	18:46:56	492,61	11,2	8,16	51,13	97,19	0,0955	0,0678
AQ	1	D	43	2020-03-23	18:46:57	492,83	11,22	8,18	51,15	97,17	0,0955	0,068
AQ	1	D	44	2020-03-23	18:46:58	492,83	11,22	8,18	51,15	97,17	0,0955	0,068
AQ	1	D	45	2020-03-23	18:46:59	493,82	11,23	8,2	51,15	97,19	0,0957	0,0679
AQ	1	D	46	2020-03-23	18:47:00	493,11	11,27	8,24	51,15	97,17	0,0956	0,0681
AQ	1	D	47	2020-03-23	18:47:01	495,11	11,27	8,24	51,16	97,19	0,0958	0,0681
AQ	1	D	48	2020-03-23	18:47:02	494,04	11,29	8,28	51,17	97,2	0,0957	0,0682
AQ	1	D	49	2020-03-23	18:47:03	495,16	11,27	8,25	51,16	97,17	0,0959	0,0681
AQ	1	D	50	2020-03-23	18:47:04	495	11,3	8,29	51,15	97,16	0,0958	0,0683
AQ	1	D	51	2020-03-23	18:47:05	496,31	11,33	8,33	51,15	97,17	0,096	0,0684
AQ	1	D	52	2020-03-23	18:47:06	496,54	11,32	8,32	51,15	97,19	0,096	0,0684
AQ	1	D	53	2020-03-23	18:47:07	496,17	11,36	8,36	51,15	97,19	0,096	0,0685
AQ	1	D	54	2020-03-23	18:47:08	497,13	11,33	8,33	51,15	97,19	0,0962	0,0684
AQ	1	D	55	2020-03-23	18:47:09	497,72	11,37	8,37	51,16	97,16	0,0961	0,0685
AQ	1	D	56	2020-03-23	18:47:10	497,67	11,39	8,41	51,17	97,19	0,0962	0,0687
AQ	1	D	57	2020-03-23	18:47:11	498,53	11,36	8,37	51,13	97,17	0,0963	0,0685
AQ	1	D	58	2020-03-23	18:47:12	498,69	11,39	8,4	51,13	97,17	0,0963	0,0686
AQ	1	D	59	2020-03-23	18:47:13	499,64	11,39	8,41	51,15	97,17	0,0965	0,0687
AQ	1	D	60	2020-03-23	18:47:14	499,2	11,42	8,45	51,15	97,19	0,0964	0,0688
AQ	1	D	61	2020-03-23	18:47:15	500,13	11,42	8,44	51,15	97,17	0,0964	0,0688
AQ	1	D	62	2020-03-23	18:47:16	499,35	11,41	8,43	51,17	97,19	0,0964	0,0688
AQ	1	D	63	2020-03-23	18:47:17	500,79	11,43	8,46	51,17	97,2	0,0966	0,0689
AQ	1	D	64	2020-03-23	18:47:18	501,65	11,46	8,5	51,15	97,18	0,0968	0,069
AQ	1	D	65	2020-03-23	18:47:19	500,66	11,46	8,5	51,15	97,17	0,0965	0,0689
AQ	1	D	66	2020-03-23	18:47:20	502,15	11,48	8,51	51,15	97,17	0,0968	0,069
AQ	1	D	67	2020-03-23	18:47:21	501,96	11,47	8,52	51,15	97,2	0,0968	0,0691
AQ	1	D	68	2020-03-23	18:47:22	503,33	11,49	8,53	51,15	97,19	0,0969	0,0691
AQ	1	D	69	2020-03-23	18:47:23	503,67	11,49	8,53	51,16	97,19	0,097	0,069
AQ	1	D	70	2020-03-23	18:47:24	502,99	11,51	8,56	51,17	97,19	0,0969	0,0692
AQ	1	D	71	2020-03-23	18:47:25	504,04	11,5	8,55	51,16	97,17	0,097	0,0691
AQ	1	D	72	2020-03-23	18:47:26	503,4	11,51	8,56	51,12	97,17	0,0969	0,0692
AQ	1	D	73	2020-03-23	18:47:27	504,07	11,53	8,58	51,15	97,17	0,0971	0,0693
AQ	1	D	74	2020-03-23	18:47:28	505,15	11,52	8,58	51,15	97,21	0,0972	0,0692
AQ	1	D	75	2020-03-23	18:47:29	505,1	11,54	8,6	51,16	97,19	0,0972	0,0693
AQ	1	D	76	2020-03-23	18:47:30	505,83	11,58	8,64	51,17	97,19	0,0973	0,0695
AQ	1	D	77	2020-03-23	18:47:31	506,61	11,57	8,63	51,17	97,16	0,0973	0,0694
AQ	1	D	78	2020-03-23	18:47:32	506,19	11,57	8,64	51,15	97,18	0,0974	0,0695
AQ	1	D	79	2020-03-23	18:47:33	507,56	11,6	8,68	51,15	97,17	0,0974	0,0695
AQ	1	D	80	2020-03-23	18:47:34	506,95	11,59	8,66	51,15	97,17	0,0975	0,0695
AQ	1	D	81	2020-03-23	18:47:35	507,97	11,6	8,68	51,15	97,19	0,0976	0,0696
AQ	1	D	82	2020-03-23	18:47:36	508,97	11,59	8,67	51,15	97,21	0,0977	0,0695
AQ	1	D	83	2020-03-23	18:47:37	508,73	11,62	8,7	51,16	97,17	0,0976	0,0697
AQ	1	D	84	2020-03-23	18:47:38	509,17	11,62	8,7	51,17	97,19	0,0978	0,0696
AQ	1	D	85	2020-03-23	18:47:39	509,63	11,63	8,72	51,16	97,19	0,0977	0,0697
AQ	1	D	86	2020-03-23	18:47:40	509,84	11,64	8,72	51,15	97,16	0,0977	0,0697
AQ	1	D	87	2020-03-23	18:47:41	509,84	11,64	8,72	51,15	97,16	0,0977	0,0697
AQ	1	D	88	2020-03-23	18:47:42	509,34	11,66	8,75	51,15	97,17	0,0978	0,0698
AQ	1	D	89	2020-03-23	18:47:43	510,1	11,65	8,73	51,15	97,17	0,0978	0,0697
AQ	1	D	90	2020-03-23	18:47:44	510,9	11,65	8,74	51,15	97,19	0,0979	0,0698
AQ	1	D	91	2020-03-23	18:47:45	510,78	11,65	8,74	51,15	97,2	0,0979	0,0697
AQ	1	D	92	2020-03-23	18:47:46	512,01	11,69	8,79	51,17	97,17	0,0981	0,0699
AQ	1	D	93	2020-03-23	18:47:47	511,53	11,68	8,78	51,17	97,2	0,098	0,07
AQ	1	D	94	2020-03-23	18:47:48	512,88	11,69	8,79	51,16	97,18	0,0983	0,0699
AQ	1	D	95	2020-03-23	18:47:49	513,17	11,7	8,8	51,15	97,17	0,0982	0,07
AQ	1	D	96	2020-03-23	18:47:50	512,47	11,69	8,79	51,15	97,19	0,0981	0,07
AQ	1	D	97	2020-03-23	18:47:51	512,95	11,69	8,8	51,15	97,2	0,0982	0,0699
AQ	1	D	98	2020-03-23	18:47:52	513,58	11,71	8,81	51,15	97,21	0,0983	0,0701
AQ	1	D	99	2020-03-23	18:47:53	513,74	11,71	8,82	51,17	97,19	0,0983	0,0701
AQ	1	D	100	2020-03-23	18:47:54	513,86	11,72	8,83	51,17	97,18	0,0983	0,07
AQ	1	D	101	2020-03-23	18:47:55	515,61	11,74	8,85	51,16	97,18	0,0986	0,0702
AQ	1	D	102	2020-03-23	18:47:56	515,6	11,74	8,85	51,15	97,19	0,0985	0,0701
AQ	1	D	103	2020-03-23	18:47:57	516,62	11,74	8,85	51,15	97,17	0,0987	0,0701
AQ	1	D	104	2020-03-23	18:47:58	515,93	11,76	8,88	51,15	97,2	0,0986	0,0703
AQ	1	D	105	2020-03-23	18:47:59	515,65	11,75	8,87	51,15	97,17	0,0985	0,0701
AQ	1	D	106	2020-03-23	18:48:00	516,49	11,75	8,87	51,15	97,2	0,0988	0,0702
AQ	1	D	107	2020-03-23	18:48:01	517,13	11,75	8,86	51,16	97,19	0,0988	0,0702
AQ	1	D	108	2020-03-23	18:48:02	518,62	11,79	8,92	51,15	97,19	0,0989	0,0703
AQ	1	D	109	2020-03-23	18:48:03	517,69	11,79	8,91	51,15	97,16	0,0988	0,0705
AQ	1	D	110	2020-03-23	18:48:04	518,55	11,78	8,9	51,15	97,17	0,0989	0,0702
AQ	1	D	111	2020-03-23	18:48:05	518,3	11,78	8,9	51,15	97,19	0,0989	0,0703
AQ	1	D	112	2020-03-23	18:48:06	519,64	11,82	8,95	51,15	97,17	0,0992	0,0705
AQ	1	D	113	2020-03-23	18:48:07	519,94	11,79	8,91	51,15	97,2	0,0991	0,0703
AQ	1	D	114	2020-03-23	18:48:08	518,81	11,81	8,94	51,17	97,19	0,099	0,0705
AQ	1	D	115	2020-03-23	18:48:09	519,79	11,82	8,96	51,16	97,17	0,0991	0,0704
AQ	1	D	116	2020-03-23	18:48:10	521,2	11,81	8,94	51,15	97,16	0,0994	0,0705
AQ	1	D	117	2020-03-23	18:48:11	521,06	11,82	8,95	51,15	97,17	0,0992	0,0704
AQ	1	D	118	2020-03-23	18:48:12	520,64	11,82	8,95	51,15	97,17	0,0992	0,0705
AQ	1	D	119	2020-03-23	18:48:13	522,09	11,83	8,96	51,15	97,17	0,0994	0,0705
AQ	1	D	120	2020-03-23	18:48:14	521,66	11,82	8,95	51,15	97,19	0,0993	0,0705
AQ	1	D	121	2020-03-23	18:48:15	522,67	11,85	8,99	51,17	97,18	0,0995	0,0706
AQ	1	D	122	2020-03-23	18:48:16	522,34	11,81	8,94	51,17	97,18	0,0994	0,0703
AQ	1	D	123	2020-03-23	18:48:17	522,79	11,86	9	51,15	97,15	0,0996	0,0707
AQ	1	D	124	2020-03-23	18:48:18	523,74	11,85	8,99	51,12	97,16	0,0996	0,0705
AQ	1	D	125	2020-03-23	18:48:19	524,05	11,84	8,98	51,13	97,19	0,0996	0,0706
AQ	1	D	126	2020-03-23	18:48:20	524,22	11,86	9	51,15	97,16	0,0997	0,0706
AQ	1	D	127	2020-03-23	18:48:21	524,48	11,87	9,01	51,15	97,19	0,0997	0,0707
AQ	1	D	128	2020-03-23	18:48:22	524,4	11,86	9	51,15	97,17	0,0997	0,0706
AQ	1	D	129	2020-03-23	18:48:23	525,23	11,87	9,02	51,17	97,19	0,0998	0,0708
AQ	1	D	130	2020-03-23	18:48:24	526,26	11,9	9,05	51,16	97,17	0,1	0,0708
AQ	1	D	131	2020-03-23	18:48:25	526,26	11,9	9,05	51,16	97,17	0,1	0,0708
AQ	1	D	132	2020-03-23	18:48:26	525,99	11,86	9	51,15	97,19	0,0999	0,0706
AQ	1	D	133	2020-03-23	18:48:27	526,69	11,89	9,04	51,15	97,17	0,1	0,0709
AQ	1	D	134	2020-03-23	18:48:28	526,68	11,87	9,01	51,15	97,19	0,0999	0,0706
AQ	1	D	135	2020-03-23	18:48:29	526,05	11,87	9,02	51,15	97,2	0,1	0,0708
AQ	1	D	136	2020-03-23	18:48:30	528,08	11,91	9,06	51,16	97,17	0,1001	0,0708
AQ	1	D	137	2020-03-23	18:48:31	527,83	11,9	9,05	51,17	97,19	0,1002	0,0709
AQ	1	D	138	2020-03-23	18:48:32	527,84	11,9	9,06	51,15	97,19	0,1002	0,0709
AQ	1	D	139	2020-03-23	18:48:33	528,97	11,87	9,02	51,13	97,16	0,1003	0,0706
AQ	1	D	140	2020-03-23	18:48:34	529,02	11,89	9,04	51,12	97,17	0,1003	0,0708
AQ	1	D	141	2020-03-23	18:48:35	529,78	11,91	9,07	51,13	97,19	0,1004	0,0708
AQ	1	D	142	2020-03-23	18:48:36	530,4	11,93	9,09	51,15	97,19	0,1004	0,071
AQ	1	D	143	2020-03-23	18:48:37	529,68	11,9	9,06	51,15	97,2	0,1004	0,0708
AQ	1	D	144	2020-03-23	18:48:38	529,99	11,92	9,07	51,16	97,19	0,1004	0,0708
AQ	1	D	145	2020-03-23	18:48:39	530,62	11,93	9,08	51,16	97,17	0,1005	0,0709
AQ	1	D	146	2020-03-23	18:48:40	531,33	11,9	9,06	51,15	97,17	0,1006	0,0709
AQ	1	D	147	2020-03-23	18:48:41	531,86	11,95	9,11	51,15	97,17	0,1007	0,071
AQ	1	D	148	2020-03-23	18:48:42	531,31	11,94	9,1	51,15	97,19	0,1005	0,071
AQ	1	D	149	2020-03-23	18:48:43	531,58	11,93	9,09	51,15	97,2	0,1007	0,0709
AQ	1	D	150	2020-03-23	18:48:44	532,56	11,95	9,11	51,15	97,2	0,1008	0,071
AQ	1	D	151	2020-03-23	18:48:45	532,3	11,95	9,11	51,15	97,19	0,1007	0,071
AQ	1	D	152	2020-03-23	18:48:46	533,63	11,93	9,09	51,17	97,21	0,1009	0,071
AQ	1	D	153	2020-03-23	18:48:47	533,42	11,94	9,11	51,16	97,17	0,1009	0,071
AQ	1	D	154	2020-03-23	18:48:48	533,67	11,96	9,12	51,15	97,16	0,1009	0,0711
AQ	1	D	155	2020-03-23	18:48:49	534,48	11,94	9,11	51,15	97,19	0,1009	0,071
AQ	1	D	156	2020-03-23	18:48:50	534,41	11,98	9,15	51,15	97,17	0,1011	0,0711
AQ	1	D	157	2020-03-23	18:48:51	535,36	11,93	9,1	51,15	97,19	0,1011	0,0709
AQ	1	D	158	2020-03-23	18:48:52	535,97	11,95	9,11	51,16	97,19	0,1012	0,0711
AQ	1	D	159	2020-03-23	18:48:53	535,14	11,96	9,13	51,17	97,19	0,1011	0,0711
AQ	1	D	160	2020-03-23	18:48:54	536,62	11,98	9,15	51,16	97,16	0,1013	0,0711
AQ	1	D	161	2020-03-23	18:48:55	536,93	11,99	9,17	51,15	97,19	0,1013	0,0712
AQ	1	D	162	2020-03-23	18:48:56	536,66	11,98	9,15	51,15	97,17	0,1013	0,0711
AQ	1	D	163	2020-03-23	18:48:57	536,18	11,97	9,14	51,15	97,19	0,1013	0,0711
AQ	1	D	164	2020-03-23	18:48:58	537,07	11,97	9,14	51,15	97,2	0,1014	0,0711
AQ	1	D	165	2020-03-23	18:48:59	538,11	11,97	9,14	51,17	97,19	0,1014	0,071
AQ	1	D	166	2020-03-23	18:49:00	538,25	11,97	9,14	51,17	97,16	0,1015	0,0711
AQ	1	D	167	2020-03-23	18:49:01	539,14	12	9,18	51,16	97,16	0,1016	0,0713
AQ	1	D	168	2020-03-23	18:49:02	539,49	12	9,17	51,15	97,16	0,1016	0,0712
AQ	1	D	169	2020-03-23	18:49:03	538,93	11,97	9,14	51,15	97,19	0,1017	0,0711
AQ	1	D	170	2020-03-23	18:49:04	539,59	11,98	9,15	51,15	97,19	0,1017	0,0712
AQ	1	D	171	2020-03-23	18:49:05	540,69	11,99	9,17	51,15	97,17	0,1018	0,0712
AQ	1	D	172	2020-03-23	18:49:06	539,33	12,01	9,2	51,15	97,2	0,1017	0,0714
AQ	1	D	173	2020-03-23	18:49:07	541,01	12,01	9,19	51,15	97,19	0,1018	0,0712
AQ	1	D	174	2020-03-23	18:49:08	540,62	11,98	9,16	51,17	97,19	0,1019	0,0712
AQ	1	D	175	2020-03-23	18:49:09	540,62	11,98	9,16	51,17	97,19	0,1019	0,0712
AQ	1	D	176	2020-03-23	18:49:10	541,41	11,99	9,16	51,15	97,19	0,1018	0,0711
AQ	1	D	177	2020-03-23	18:49:11	541,43	12,03	9,21	51,15	97,17	0,1019	0,0714
AQ	1	D	178	2020-03-23	18:49:12	541,62	11,99	9,16	51,15	97,19	0,102	0,0711
AQ	1	D	179	2020-03-23	18:49:13	542,36	12,01	9,19	51,15	97,19	0,102	0,0713
AQ	1	D	180	2020-03-23	18:49:14	542,7	12	9,18	51,15	97,17	0,1021	0,0711
AQ	1	D	181	2020-03-23	18:49:15	541,94	12,01	9,19	51,16	97,2	0,102	0,0714
AQ	1	D	182	2020-03-23	18:49:16	543,17	12,01	9,19	51,17	97,2	0,1021	0,0712
AQ	1	D	183	2020-03-23	18:49:17	544,18	12,02	9,2	51,16	97,19	0,1023	0,0714
AQ	1	D	184	2020-03-23	18:49:18	544,03	12,02	9,2	51,15	97,17	0,1022	0,0713
AQ	1	D	185	2020-03-23	18:49:19	544,46	12	9,18	51,12	97,17	0,1023	0,0712
AQ	1	D	186	2020-03-23	18:49:20	544,41	12,03	9,21	51,15	97,19	0,1023	0,0714
